t,M_forecast,M_realised,M_estimate
1,0.06420805304090238,-0.10508419390913937,-0.10508419390913937
2,-0.020974521904291388,0.33065903433076127,0.33065903433076127
3,-0.14145437219292323,-0.25606233845413534,-0.25606233845413534
4,-0.2681214977392136,-0.3704811445186304,-0.3704811445186304
5,0.41203242072817226,0.3903821349469028,0.3903821349469028
6,0.30761349573529223,0.25713729890847414,0.25713729890847414
7,0.21896495786565257,0.07135440751552397,0.07135440751552397
8,0.14548135863781914,0.21250570517818182,0.21250570517818182
9,0.08555682233757253,0.11887614712682963,0.11887614712682963
10,0.03725267245684219,0.01952936543086725,0.01952936543086725
11,-0.001358238553135549,0.5424924166612101,0.5424924166612101
12,-0.0320298828475481,0.3042467560774104,0.3042467560774104
13,-0.056281773158512294,-0.4490354899257748,-0.4490354899257748
14,-0.07539042047098976,0.08465897877746933,0.08465897877746933
15,-0.09040644859839242,0.11319741240018921,0.11319741240018921
16,-0.10218233865047466,-0.3401923562135947,-0.3401923562135947
17,-0.11140277996398756,-0.2781470951319439,-0.2781470951319439
18,-0.11861361064258369,-0.47977133399302907,-0.47977133399302907
19,-0.12424757303221917,-0.206713779804582,-0.206713779804582
20,-0.12864632304799634,0.04044807459700965,0.04044807459700965
