method,t,var_Y_t
raw,0,0.0
raw,1,3.1102649784336744e-06
raw,2,2.6189359559090173e-05
raw,3,6.506747995643314e-05
raw,4,0.00046490643452381494
raw,5,0.0017887280746340716
raw,6,0.0017321522760760473
raw,7,0.0019466088169838261
raw,8,0.0017906820692093755
raw,9,0.0017928006707716836
raw,10,0.0016385967597058895
raw,11,0.0012726772655337617
raw,12,0.0011188299144081996
raw,13,0.0012564222735977758
raw,14,0.001293296007582794
raw,15,0.001221754341408872
raw,16,0.0015415911016233132
raw,17,0.0016012813667435671
raw,18,0.0016116918578672707
raw,19,0.0016967955954726166
raw,20,0.0016746482582164787
naive,0,0.0
naive,1,5.965437028974198e-06
naive,2,4.847045645319984e-05
naive,3,0.00028580725100442206
naive,4,0.0009294387950488582
naive,5,0.0016090373838381683
naive,6,0.0019468386000976886
naive,7,0.002000978461278315
naive,8,0.0019136680787456156
naive,9,0.0017657563573194692
naive,10,0.001595321476523404
naive,11,0.0014244632906712529
naive,12,0.0012797612914348404
naive,13,0.0012099400263691305
naive,14,0.0012655739860042772
naive,15,0.0013957195981598644
naive,16,0.0014560981405113856
naive,17,0.0013933221168002132
naive,18,0.0012544781568265674
naive,19,0.0010922087926816904
naive,20,0.0009377001303794317
anchored,0,0.0
anchored,1,4.1900589725352695e-06
anchored,2,2.5092686048234348e-05
anchored,3,8.807992447009018e-05
anchored,4,0.000202070620007694
anchored,5,0.00031730485209148274
anchored,6,0.0003876717509920054
anchored,7,0.0003917516627219305
anchored,8,0.00036056919091992536
anchored,9,0.0003169699093416776
anchored,10,0.0002729260777332456
anchored,11,0.00023549728773667358
anchored,12,0.00021061401257620955
anchored,13,0.0002037946405138039
anchored,14,0.00021581000959905775
anchored,15,0.0002346301675249451
anchored,16,0.00024047762714044614
anchored,17,0.0002246159625424613
anchored,18,0.0001926691478947315
anchored,19,0.0001544453086595957
anchored,20,0.00011768618953901821
